date;ES;FR;CH;SE;NO;AT;RO;FI;DE;SK;PT;IT;PL;HU;RS;SI;CZ;BG;ME;BA;HR;MK
2086-01-01;0.000000;0.001243;0.013882;28.765006;81.878779;0.000625;0.000000;0.392369;0.023136;0.000000;0.000000;0.089534;0.058189;0.000000;0.100853;0.000000;0.008227;0.001903;0.001652;0.001726;0.018985;0.000000
2086-01-02;0.036912;0.060130;0.023832;29.951263;79.839419;0.003994;0.016647;0.543915;0.025266;0.000000;0.001842;0.051433;0.060868;0.000000;0.036827;0.001328;0.010229;0.015577;0.007390;0.002713;0.026584;0.008949
2086-01-03;0.031680;0.058054;0.016779;31.380450;190.136557;0.003506;0.014672;0.298354;0.022269;0.000000;0.001709;0.031537;0.324628;0.000000;0.122828;0.001170;0.009016;0.013729;0.006513;0.009988;0.023638;0.007887
2086-01-04;0.002216;0.005471;0.000300;22.912008;157.600350;0.000078;0.003641;2.193265;0.000000;0.000000;0.000537;0.000307;0.108500;0.000000;0.010690;0.000000;0.000000;0.000000;0.000000;0.008273;0.004578;0.000000
2086-01-05;0.092721;0.172216;0.049215;15.936247;234.122146;0.010769;0.041647;4.594923;0.062003;0.000000;0.004917;0.087030;1.088375;0.000000;0.102114;0.003589;0.309782;0.040789;0.019748;0.010327;0.059376;0.022161
2086-01-06;0.002591;0.181326;0.023331;9.174600;119.003839;0.109510;0.228695;0.628422;0.053976;0.000000;0.000183;0.010052;6.575465;0.000000;0.000000;0.001929;0.999470;0.003259;0.000000;0.001754;0.016256;0.000000
2086-01-07;0.045193;0.100079;0.027991;8.723612;73.583140;0.213526;1.376226;0.258773;0.055267;0.000000;0.002776;0.042571;9.000381;0.000000;0.088306;0.008483;0.682583;0.023166;0.008939;0.007796;0.039460;0.009294
2086-01-08;0.831366;1.163206;0.109590;11.078973;111.251951;0.047137;2.116469;0.208954;0.073724;0.002503;0.132709;0.212578;0.806673;0.000000;0.077364;0.019696;0.036891;0.027208;0.011924;0.008831;0.069588;0.012997
2086-01-09;10.742932;0.353090;0.005664;16.586238;166.679248;0.003690;2.042640;0.164775;0.000000;0.003239;1.217891;0.135361;0.187201;0.000000;0.096620;0.033606;0.013238;0.017356;0.178191;0.198558;3.074242;0.008080
2086-01-10;6.430274;14.763035;1.330778;10.889995;73.775201;0.020833;0.323621;0.382795;1.032513;0.004232;0.372924;2.375829;0.153936;0.000000;0.081601;0.152541;0.249991;0.042525;0.020689;0.043857;0.974237;0.060444
2086-01-11;12.993935;3.393455;0.346481;8.412265;71.043830;0.141920;0.512901;0.305740;2.610476;0.003665;3.598860;0.446088;1.039129;0.000000;0.042696;0.053421;0.852466;0.006968;0.056390;3.013553;2.905022;0.044028
2086-01-12;53.705611;14.621707;4.437140;7.034303;54.662377;0.190500;0.189856;0.086902;0.705411;0.061223;5.320522;6.311954;0.026499;0.000000;0.049564;0.254406;0.404247;0.013418;0.000000;0.096853;0.496231;0.000000
2086-01-13;17.682166;118.753248;63.465141;10.666209;51.202527;2.151843;0.448063;0.314108;2.407762;0.576834;1.860416;103.088457;0.281416;0.000000;0.017736;1.619712;0.084734;0.007519;0.062417;0.494523;0.409786;0.000000
2086-01-14;66.558263;12.892015;6.933316;12.727220;156.437880;3.559856;2.069156;0.525762;18.187819;1.194341;9.098111;18.446518;8.166516;0.000000;0.054623;5.843957;0.795888;0.020845;2.227306;8.379061;21.057305;0.127956
2086-01-15;154.578749;127.596103;38.591350;20.515476;133.671726;2.304696;1.007498;0.503352;19.168959;0.336167;12.124501;34.742444;1.784323;0.000000;0.095180;3.642836;2.340624;0.085987;0.293723;0.668444;4.909020;0.372718
2086-01-16;34.582046;96.498532;28.373347;16.018997;74.450516;3.574436;14.724566;0.163674;20.428738;0.090830;2.764327;27.187774;4.055581;0.000000;0.047688;7.170715;1.544302;0.036305;1.788712;4.367846;11.665477;0.065335
2086-01-17;47.564867;161.293012;51.844614;9.254280;85.168987;10.979475;7.112055;0.162751;49.485860;0.121394;1.778728;107.487612;1.938887;0.000000;0.045212;8.459080;1.149708;0.031522;1.338804;3.970094;9.364484;0.070560
2086-01-18;31.737282;28.154947;7.920404;6.537358;50.312217;4.340563;8.355329;0.073170;53.255387;0.404981;1.513724;10.033876;25.588806;0.000000;0.465468;13.080120;1.379725;0.293400;6.833153;18.459906;64.684913;1.450983
2086-01-19;165.864475;27.315800;5.219135;4.561315;45.303844;1.156605;6.265249;1.292537;7.279195;0.027419;15.816464;1.878482;4.920274;0.000000;0.563689;18.585289;0.354042;0.018596;0.241916;0.901545;8.197448;0.496874
2086-01-20;35.909302;50.211201;31.720508;8.346221;108.070284;5.799625;0.431565;0.092568;22.156141;0.025358;1.606440;16.177884;4.434469;0.000000;0.167569;32.823040;2.324626;0.022486;0.004935;0.932762;0.118855;0.008230
2086-01-21;28.120164;23.497731;7.754777;7.889412;120.563413;4.026629;3.462500;0.036559;3.655300;1.215417;1.772726;8.825065;5.081664;0.000000;0.847491;23.583789;4.437126;0.518003;0.077057;1.729176;0.099178;0.144269
2086-01-22;30.441373;47.398757;8.871076;14.008024;207.484727;3.070497;0.907970;0.070235;4.230861;0.591763;1.387765;14.197796;3.617972;0.000000;0.392375;26.944955;1.525809;0.234434;0.055557;0.107117;0.038893;0.068396
2086-01-23;24.679089;46.528085;10.571269;23.222150;113.185661;3.679908;3.347914;0.295594;6.790172;0.382580;0.134391;7.977034;5.079485;0.000000;0.486208;41.323426;1.919209;0.206741;0.009641;0.300836;0.062902;0.075472
2086-01-24;31.416598;37.914202;6.509013;38.050564;90.434471;4.234072;0.625233;0.105774;8.246507;0.487799;0.354281;9.523914;2.167562;0.000000;0.927200;29.398562;0.574123;0.248744;0.029287;3.800982;0.106426;0.133167
2086-01-25;36.442182;47.370781;9.473339;40.410909;244.275318;4.017504;0.876878;0.104349;12.274777;2.427604;1.672094;4.328925;2.467833;0.000000;0.139855;4.755527;0.733993;0.257081;0.035636;0.477962;0.057379;0.023634
2086-01-26;49.684180;61.329740;11.470731;30.314677;192.141667;3.229245;0.572907;0.146500;4.702808;0.798254;2.695108;2.219415;0.914901;0.000000;0.813513;1.266567;2.012835;0.212137;0.008771;1.849462;0.033760;0.016632
2086-01-27;15.158664;55.245068;14.942651;23.173314;230.028003;2.915278;0.663077;0.271079;0.749897;0.249161;0.632736;4.691654;0.695413;0.000000;0.083604;0.273268;0.448709;0.094374;0.000000;2.713444;0.003696;0.017411
2086-01-28;24.167014;14.152141;7.479045;43.780984;298.092546;3.398804;0.412103;1.576616;6.007126;0.299107;0.710937;3.452060;0.506824;0.000000;0.186653;0.277134;0.606247;0.261378;0.000000;14.114049;0.000000;0.046448
2086-01-29;40.351605;22.046983;4.692063;79.960360;639.992798;4.837981;0.376145;2.750250;8.767957;0.224853;0.389626;2.296555;1.264294;0.000000;0.373176;1.423352;0.707121;0.190103;0.007831;1.770832;0.085601;0.045390
2086-01-30;38.882644;40.158791;22.678768;115.118769;248.326574;6.645743;0.845601;6.732435;61.695959;0.188070;1.229977;10.262752;6.603911;0.000000;0.396098;4.000980;3.603173;0.433258;0.219611;1.237798;2.613360;0.504450
2086-01-31;22.501732;19.965396;11.439104;84.724859;192.602460;4.469653;1.185164;8.330797;48.520862;0.143274;2.001695;31.487401;6.957035;0.000000;0.609071;4.714356;4.340834;0.299209;1.993812;6.727971;14.043514;1.464977
2086-02-01;46.068225;28.570367;1.740628;87.410266;163.195665;2.487204;4.095498;8.317265;31.786567;0.171992;1.114857;27.851199;7.206705;0.000000;0.192307;7.973475;1.953786;1.552975;19.647803;10.253422;48.175857;9.668096
2086-02-02;52.262508;39.847136;1.559789;58.102006;159.666651;1.983198;4.786882;6.152417;56.694756;0.027247;1.128752;11.377152;5.405927;0.000000;1.660834;10.492619;0.360985;1.703025;36.263700;11.416476;172.943667;2.616310
2086-02-03;87.984711;24.478920;0.965093;69.997120;209.949504;1.627158;2.585634;3.001350;106.667261;0.170977;1.457852;22.116772;23.058823;0.000000;2.827620;8.588092;0.586856;2.141082;36.217554;21.116751;219.483803;3.422977
2086-02-04;45.981783;14.455886;0.569589;73.070249;226.354153;2.484157;3.760215;2.939599;145.547297;0.574574;1.359599;11.434965;18.677747;0.000000;1.415042;6.930722;1.384128;4.294398;2.810636;2.898276;77.469860;6.921883
2086-02-05;47.187094;16.679201;1.351991;71.878322;145.327939;1.711560;4.837527;4.727368;166.835547;0.035850;1.325284;7.554408;2.963588;0.000000;2.007192;11.691982;4.293497;6.920049;1.735890;1.276080;7.246534;5.681728
2086-02-06;67.567405;29.336029;0.833489;55.833641;254.396636;1.298410;3.935099;5.664758;68.049357;0.468067;2.036219;5.361726;1.712474;0.000000;5.869466;17.988435;5.278278;9.279420;1.465858;1.063460;0.751920;5.084036
2086-02-07;36.077715;14.809886;1.818163;104.326624;180.193709;2.015691;4.518768;7.679427;40.676260;0.962859;2.717730;9.345163;5.688506;0.000000;6.988695;18.832105;4.893361;3.703748;0.057026;0.501003;0.103340;0.114398
2086-02-08;93.299773;43.183062;1.703107;78.967553;186.421664;1.714810;5.088098;6.809228;178.435098;0.974592;4.386729;9.027282;1.708498;0.000000;1.932520;11.746830;4.717629;2.575473;0.066873;0.226785;0.234048;0.337706
2086-02-09;75.268294;30.402993;1.607328;110.751388;132.994974;1.668808;4.474890;5.484236;38.532631;0.461714;2.965204;6.092386;5.468344;0.000000;7.616793;11.062474;4.439563;1.413077;3.291298;4.572241;28.301076;0.408907
