date;ES;FR;CH;SE;NO;AT;RO;FI;DE;SK;PT;IT;PL;HU;RS;SI;CZ;BG;ME;BA;HR;MK
2006-01-01;53.834827;24.337620;0.732087;1.694410;77.503433;0.022144;0.000042;0.094157;0.515069;0.000000;4.636147;1.765505;0.006935;0.000000;0.000000;0.009028;0.019816;0.000000;0.000000;0.001311;0.164416;0.000000
2006-01-02;53.613806;21.806363;5.837695;3.923451;158.255803;0.715504;0.012534;0.032690;11.564674;0.000000;5.495137;32.370737;0.588230;0.000000;0.043596;2.814622;0.125497;0.015547;0.040262;0.512962;12.469487;0.015525
2006-01-03;46.402036;13.075737;0.016773;5.326022;90.672057;0.086714;0.012773;0.143615;0.021911;0.000000;1.954400;4.918732;2.775548;0.000000;0.275398;0.967050;0.036694;0.010490;0.214163;1.229817;14.022054;0.276836
2006-01-04;2.625153;6.490254;0.638859;1.265367;24.107983;0.038762;0.008997;1.039076;0.322196;0.000000;0.449602;11.300942;0.489561;0.000000;0.537650;0.317530;0.011122;0.024020;0.184675;0.798108;11.141471;0.200311
2006-01-05;17.615315;1.492779;0.255408;4.129632;81.687928;0.030240;0.058784;0.061588;2.422137;0.000000;1.453442;6.651262;2.604822;0.000000;3.583885;0.222792;0.006204;1.103003;2.401661;2.628814;37.454568;2.663346
2006-01-06;13.576276;1.445877;0.131427;6.094377;154.727319;0.026711;0.149203;0.086526;3.790269;0.000000;0.366216;2.137482;4.775985;0.000000;1.488015;0.105388;0.051238;0.812369;1.458214;0.883829;9.393301;1.569485
2006-01-07;39.908709;3.608515;0.076905;1.342128;105.979376;0.050108;1.274087;0.242690;0.136581;0.000000;2.791368;3.340862;2.063200;0.000000;1.441962;4.024692;0.190955;0.387654;0.212640;0.886920;1.090501;0.120752
2006-01-08;32.974832;11.775242;0.035548;5.574157;161.850601;0.026984;0.398590;0.064909;0.000000;0.003736;2.247368;0.441740;1.575608;0.000000;0.755801;19.396892;0.120515;0.257689;0.181153;0.760692;0.189214;0.200229
2006-01-09;29.343453;27.087305;1.449776;1.913162;65.886232;0.028000;0.174118;0.411316;0.438280;0.026868;2.087523;3.584541;1.528792;0.000000;0.856618;7.496068;0.003856;0.257925;0.152229;0.447768;0.069156;0.185956
2006-01-10;97.459469;21.957534;0.989310;2.992513;102.374622;0.119796;0.024514;0.236055;5.524594;0.147655;10.747631;4.995178;0.389611;0.000000;0.938182;3.197833;0.031107;0.212222;0.072319;0.138677;1.076534;0.212854
2006-01-11;49.559780;90.993335;13.290054;2.964447;23.532557;1.307129;0.083929;0.215636;65.202651;0.164180;3.940945;43.181548;3.774530;0.000000;0.937671;6.994816;0.317759;0.109489;1.570173;6.209264;31.817137;0.300618
2006-01-12;20.298928;11.664770;0.668043;4.729225;22.897992;0.729522;0.942972;0.116905;18.369681;0.821202;3.867519;7.275300;17.786331;0.000000;6.123815;3.128383;2.096641;1.965575;9.741569;14.308007;72.126706;5.316586
2006-01-13;22.519984;8.574674;0.135935;5.448159;23.062253;0.148703;0.252883;0.126558;0.160641;0.444402;0.942038;3.965747;1.954870;0.000000;0.792551;1.928748;0.030721;0.334592;0.092875;3.283168;11.910792;0.273390
2006-01-14;21.819807;9.231426;0.204811;3.987973;19.650989;0.206042;0.011021;0.242460;0.286871;0.315537;2.688287;6.791497;0.032963;0.000000;1.525135;0.623272;0.010165;0.264048;0.078171;3.626345;1.041567;0.725599
2006-01-15;20.096883;7.358672;0.299253;2.883271;18.380319;0.076979;0.024931;0.299192;0.362594;0.190581;0.834652;3.389484;0.011811;0.000000;0.814493;0.295360;0.016716;1.119375;0.004136;6.512204;0.165469;3.954768
2006-01-16;57.895185;9.124105;0.111782;2.508774;13.296964;0.116715;0.084268;0.215178;0.612174;0.077524;3.007972;6.057792;0.051953;0.000000;0.999693;7.064120;0.259501;0.644203;0.155568;4.266145;3.870659;2.205403
2006-01-17;39.779030;13.967783;0.122512;3.612319;24.001761;0.163521;0.064960;0.226712;2.325264;0.018246;1.522865;3.836969;0.020150;0.000000;1.490068;28.114720;0.413616;0.870205;0.289856;1.084002;0.730510;5.690405
2006-01-18;109.663981;16.536225;0.210300;4.265130;32.329232;0.366449;0.039624;0.067251;5.391439;0.133696;7.834017;2.799908;0.157470;0.000000;1.352558;12.230878;0.159951;0.728147;0.230022;0.635481;0.210673;2.380334
2006-01-19;67.966548;71.738920;1.843941;3.784267;34.091634;0.665311;0.007753;0.067250;13.360966;1.402445;2.435258;19.738038;0.539350;0.000000;1.741967;2.031312;0.045841;0.885786;0.109271;3.139216;10.665705;1.279789
2006-01-20;48.446894;21.054843;0.193571;6.421728;36.200269;0.567156;0.022590;0.075410;13.722624;0.408373;3.970413;6.214906;0.468043;0.000000;3.501635;1.380057;0.430579;0.754850;3.838694;11.736599;47.730742;8.425627
2006-01-21;48.647457;61.114564;1.187646;8.478517;52.711795;0.056417;0.072830;0.068712;16.071056;0.007681;1.540294;2.131618;1.488617;0.000000;1.505840;0.550877;0.586080;2.640190;0.027522;4.454781;6.332672;0.839751
2006-01-22;29.160176;48.866544;19.699866;12.781870;45.134865;1.680416;0.036209;0.157681;81.178393;0.002803;1.073971;4.355467;2.683379;0.000000;1.065866;1.304825;1.111314;1.671293;0.012102;11.068908;0.047120;0.162489
2006-01-23;28.689067;23.174025;5.066293;10.818862;55.834842;1.883992;0.013026;0.104558;78.052180;0.065166;0.430931;4.437823;9.078302;0.000000;0.964592;0.470937;6.600788;1.138073;0.077501;1.483456;0.663277;0.313662
2006-01-24;72.083718;37.849886;2.960571;12.991587;98.802759;0.940657;1.013817;0.650867;33.706286;0.178913;4.990576;3.377469;11.695095;0.000000;5.060092;0.695664;2.847787;2.716564;0.505392;0.165271;0.613498;1.272578
2006-01-25;48.447905;30.628573;6.839126;19.382583;108.005807;1.529287;1.260536;0.429883;24.102065;0.122433;4.531797;13.635137;5.734018;0.000000;9.817992;8.451074;1.844836;3.300966;0.856940;0.710938;3.091337;4.273963
2006-01-26;145.873976;132.732083;16.291822;9.408574;52.023386;2.008350;1.676517;1.234915;29.712360;0.178811;10.956098;42.211463;4.969728;0.000000;7.050342;16.075388;0.684776;2.779869;5.573802;5.755260;16.945319;5.234641
2006-01-27;51.636788;71.863538;36.183351;12.954157;81.243017;5.889773;1.661806;0.471335;61.648991;1.352631;2.692846;96.328745;31.615321;0.000000;10.061601;23.381163;6.048311;2.965281;12.768084;6.399816;35.459713;6.186644
2006-01-28;92.593299;24.750670;0.649279;19.679391;47.089724;1.213694;1.953804;3.339048;2.474765;0.848643;6.908868;6.358055;23.967231;0.000000;17.352922;7.304429;3.750965;3.136923;18.848849;22.577361;109.148932;5.430354
2006-01-29;78.523888;51.033902;1.937821;11.280265;42.255106;1.518841;2.262711;3.760461;20.344271;0.012066;5.063668;15.064347;5.501770;0.000000;5.869140;8.769245;1.103972;5.831288;1.646595;4.548852;22.565023;8.099738
2006-01-30;55.474410;27.383765;2.600203;15.216575;45.920061;2.325459;3.175369;7.589090;47.627081;1.193052;4.121935;11.513705;10.699410;0.000000;19.782335;13.901318;1.945854;4.081045;21.838180;34.882506;127.720470;9.830528
2006-01-31;46.749334;24.213370;2.381612;16.015640;37.736920;1.455746;10.985014;5.761683;32.704981;1.643423;2.240560;5.407688;11.972322;0.000000;25.378206;31.803280;0.270292;15.164870;20.111184;12.468118;44.515245;22.911393
2006-02-01;53.870311;23.788938;0.156160;16.718896;37.397044;2.147641;1.534279;5.357195;35.726757;0.995668;1.466391;9.948700;1.499887;0.000000;11.678268;59.980330;1.496885;5.136886;1.785030;5.450271;19.060835;30.026565
2006-02-02;44.660180;30.143327;0.789446;19.056937;46.737021;3.428492;0.571275;8.792466;24.530770;0.560634;0.841952;8.279742;0.143681;0.000000;8.350314;96.981092;2.353324;7.432994;2.011719;7.155396;3.854048;39.511360
2006-02-03;51.223485;24.191217;0.261925;23.398012;37.739903;3.503778;0.747650;10.385703;3.562646;4.787065;1.463648;9.859241;0.158922;0.000000;4.940771;28.774204;0.664177;29.732436;0.530138;5.275991;0.924153;90.392272
2006-02-04;46.844667;24.717804;0.145999;21.629638;31.336819;4.224890;0.577417;8.206735;7.471301;5.215057;1.483019;7.581146;0.025682;0.000000;3.183980;25.824664;0.270059;24.261949;0.018587;3.864481;0.067200;8.915000
2006-02-05;39.147851;37.046652;0.253567;23.813950;37.936757;2.356050;0.472118;10.904989;12.619277;1.207278;0.874186;10.818482;0.041982;0.000000;4.262368;43.085664;0.366205;9.009434;0.068829;14.560507;34.987624;1.934188
2006-02-06;42.046898;23.142792;0.453815;19.115358;31.541848;2.920906;0.538802;11.987617;13.601615;1.718346;1.447204;16.524893;2.756446;0.000000;6.569682;19.697988;0.416980;8.829931;2.850531;39.155908;180.814085;58.313269
2006-02-07;38.551968;24.103979;0.411863;18.545180;21.860975;2.505095;3.114150;6.714022;9.896774;1.104984;0.854471;13.573109;2.279390;0.000000;12.040114;6.059902;1.403659;45.299722;13.641055;50.149657;110.862445;85.802648
2006-02-08;77.436133;13.549552;0.186359;22.139703;24.034854;3.322575;4.697528;4.287301;7.671241;0.188957;2.085648;3.112961;2.270130;0.000000;5.395271;3.536396;2.184039;9.612017;0.190236;13.209628;13.110388;11.065298
2006-02-09;48.938312;12.279537;0.269359;27.123731;17.164434;1.652333;0.786477;4.224261;21.886636;0.007692;1.288322;2.676745;3.792722;0.000000;11.794309;1.894718;2.186952;8.423552;0.013818;45.641256;0.059566;13.411837
2006-02-10;130.815783;24.528742;0.233270;19.047535;17.883478;1.774566;0.482745;3.780441;116.915519;0.003482;3.630617;3.257839;3.303582;0.000000;4.712663;4.252452;2.378699;4.714749;0.000000;29.632396;0.004221;7.878740
2006-02-11;130.970458;86.019535;1.261752;16.252900;18.854269;2.759280;0.457699;8.410341;106.328835;0.002828;2.611242;8.464192;0.992675;0.000000;6.394857;7.641475;2.809820;6.358442;0.035926;17.119750;0.161287;9.278079
2006-02-12;46.422078;26.341537;0.839131;19.775775;15.236023;2.195565;0.598181;11.896975;39.764828;0.000401;0.895400;11.008813;8.611729;0.000000;11.521519;8.042510;1.944925;4.680143;0.012883;5.841257;0.694318;8.656510
2006-02-13;44.393882;12.195973;0.060197;22.009185;24.920860;1.678607;0.982396;8.893262;22.738069;0.006468;1.504647;13.176761;8.086344;0.000000;13.980920;4.481484;5.271030;4.736949;0.034976;15.088881;0.207480;25.134429
2006-02-14;57.461447;21.069493;0.086142;24.227861;26.452205;2.259507;1.576407;10.148125;41.103307;0.006466;1.515362;10.372865;1.639079;0.000000;14.864284;6.393194;4.871024;6.586058;0.021638;14.197133;0.481465;17.097269
2006-02-15;42.336865;12.871160;0.082918;20.801624;12.808021;1.385545;1.924912;8.797621;74.223104;0.007766;2.271128;11.196196;2.965576;0.000000;30.212845;10.859709;3.560892;7.700698;0.028111;4.319564;0.208103;8.152249
2006-02-16;95.886546;12.087285;0.056525;24.514141;10.945920;0.743821;1.906176;5.177605;3.056344;0.009190;5.636305;4.684259;2.115562;0.000000;25.702889;4.714331;2.926739;8.959315;0.092651;19.893193;0.173705;25.987351
2006-02-17;89.661349;25.871808;0.247791;24.382569;12.256270;0.862652;1.058092;4.499146;0.862319;0.003013;3.649388;0.755012;0.271282;0.000000;15.418508;6.001665;2.376792;10.600983;0.308738;23.674882;1.841973;14.295166
2006-02-18;51.834571;41.233704;1.883014;21.812171;9.592514;1.035387;1.030622;5.144371;3.896266;0.005525;1.195213;3.491546;0.049559;0.000000;21.250149;7.610868;3.844964;8.849899;0.728066;5.372945;8.770121;4.847052
2006-02-19;39.118749;21.813889;1.224974;27.766473;13.255428;0.951336;0.986640;6.029174;8.095817;0.001534;1.079442;10.421857;0.016870;0.000000;39.918525;10.659549;5.095274;12.299656;1.828521;2.490116;14.805674;10.788882
2006-02-20;38.786953;21.175043;1.014532;22.073644;29.838762;0.939160;0.864707;6.389284;10.319970;0.000000;0.742315;6.853458;0.012928;0.000000;37.544985;14.035013;2.481965;12.924863;0.806458;2.742084;7.699338;31.627608
2006-02-21;58.222178;39.116697;2.143142;21.974441;22.916062;0.969964;1.420241;4.513265;9.341293;0.001123;2.052150;10.192862;0.017898;0.000000;35.532267;12.605937;2.942053;8.964808;1.695234;16.905575;86.642441;17.743255
2006-02-22;90.561220;26.564466;1.132968;22.857423;9.892052;1.068927;3.380899;4.784121;0.692828;0.002878;5.408202;10.404621;0.077194;0.000000;85.873823;3.255429;0.934510;15.041789;23.002938;28.190331;141.459282;87.220295
2006-02-23;82.376860;63.255228;1.710230;19.169004;8.767395;2.347062;3.682734;5.495168;4.820109;0.001566;2.080586;23.374209;0.006617;0.000000;72.747710;5.462330;1.704571;21.392087;21.899389;21.192117;137.916018;67.780357
2006-02-24;62.060056;20.072933;1.974783;16.188510;8.198049;1.182819;5.683833;7.305597;6.161780;0.066156;2.596899;15.558608;3.267879;0.000000;46.034019;9.487313;0.531431;45.391317;49.929965;37.107765;155.729533;80.930440
